# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
127		1973		30248		3309
128		1968		30274		3312
129		1973		30299		3314
130		1966		30318		3311
131		1962		30333		3311
132		1954		30348		3312
133		1957		30359		3318
134		1950		30373		3321
135		1949		30395		3320
136		1954		30411		3320
137		1952		30423		3318
138		1948		30440		3319
139		1947		30452		3320
140		1947		30468		3318
141		1947		30479		3317
142		1946		30488		3319
143		1945		30499		3316
144		1940		30510		3318
145		1938		30524		3316
146		1938		30533		3313
147		1936		30543		3315
148		1937		30554		3313
149		1932		30562		3317
150		1934		30567		3315
151		1931		30575		3319
152		1932		30579		3318
153		1940		30597		3317
154		1937		30609		3320
155		1935		30624		3317
156		1934		30634		3320
157		1937		30657		3322
158		1939		30665		3321
159		1939		30676		3323
160		1927		30692		3325
161		1924		30707		3323
162		1927		30715		3325
163		1926		30723		3324
164		1927		30728		3324
165		1921		30734		3322
166		1919		30739		3322
167		1920		30746		3320
168		1916		30755		3320
169		1915		30763		3320
170		1916		30772		3323
171		1921		30791		3322
172		1919		30814		3322
173		1920		30826		3325
174		1919		30837		3322
175		1906		30847		3322
176		1904		30858		3324
177		1905		30873		3324
178		1906		30891		3326
179		1904		30912		3324
180		1894		30926		3323
181		1893		30936		3323
182		1894		30951		3321
183		1894		30970		3322
184		1889		30988		3316
185		1885		31007		3321
186		1886		31018		3320
187		1887		31030		3321
188		1884		31049		3325
189		1882		31070		3325
190		1883		31084		3324
191		1883		31103		3324
192		1883		31127		3325
193		1886		31145		3323
194		1884		31168		3318
195		1883		31190		3323
196		1881		31212		3322
197		1880		31231		3323
198		1875		31246		3320
199		1880		31260		3323
200		1883		31293		3322
201		1888		31310		3321
202		1878		31336		3324
203		1876		31361		3327
204		1876		31399		3326
205		1874		31428		3327
206		1874		31448		3326
207		1870		31476		3330
208		1863		31494		3325
209		1858		31520		3324
210		1855		31534		3329
211		1856		31547		3327
212		1855		31558		3328
213		1852		31580		3327
214		1850		31598		3324
215		1845		31610		3322
216		1844		31620		3321
217		1841		31629		3322
218		1837		31638		3321
219		1836		31642		3321
220		1833		31650		3324
221		1834		31652		3322
222		1833		31659		3324
223		1835		31661		3321
224		1833		31664		3320
225		1832		31666		3321
226		1832		31669		3321
227		1832		31669		3321
228		1832		31671		3321
229		1832		31671		3321
230		1832		31671		3321
231		1832		31672		3321
232		1833		31673		3321
233		1832		31676		3323
234		1832		31677		3322
235		1832		31678		3323
236		1833		31682		3322
237		1832		31683		3323
238		1832		31683		3323
239		1830		31686		3324
240		1830		31688		3324
241		1830		31690		3324
242		1829		31695		3325
243		1828		31697		3325
244		1827		31700		3325
245		1827		31702		3325
246		1828		31703		3325
247		1826		31709		3325
248		1826		31709		3325
249		1826		31710		3325
250		1826		31713		3325
251		1827		31714		3326
252		1823		31716		3323
253		1823		31716		3323
254		1823		31716		3323
255		1823		31716		3323
256		1823		31716		3323
257		1823		31716		3323
258		1823		31716		3323
259		1823		31716		3323
260		1823		31716		3323
261		1823		31716		3323
262		1823		31716		3323
263		1823		31716		3323
264		1823		31716		3323
265		1823		31716		3323
266		1823		31716		3323
267		1823		31716		3323
268		1823		31716		3323
269		1823		31716		3323
270		1823		31716		3323
271		1823		31716		3323
272		1823		31716		3323
273		1823		31716		3323
274		1823		31716		3323
275		1823		31716		3323
276		1823		31716		3323
277		1823		31716		3323
278		1823		31716		3323
279		1823		31716		3323
280		1823		31716		3323
281		1823		31716		3323
282		1823		31716		3323
283		1823		31716		3323
284		1823		31716		3323
285		1823		31716		3323
286		1823		31716		3323
287		1823		31716		3323
288		1823		31716		3323
289		1823		31716		3323
290		1823		31716		3323
291		1823		31716		3323
292		1823		31716		3323
293		1823		31716		3323
294		1823		31716		3323
